selectBlock,FastInstructions,Statement,Correct,SlowInstructions,Blockselectloop.thisRepN,Blockselectloop.thisTrialN,Blockselectloop.thisN,Blockselectloop.thisIndex,SpeededBlock.thisRepN,SpeededBlock.thisTrialN,SpeededBlock.thisN,SpeededBlock.thisIndex,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,SlowBlock.thisRepN,SlowBlock.thisTrialN,SlowBlock.thisN,SlowBlock.thisIndex,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,Instr1.started,Instr1.stopped,InstrResponse.keys,InstrResponse.rt,InstrResponse.started,InstrResponse.stopped,fixcross.started,fixcross.stopped,Fasttext.started,Fasttext.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Timer.started,Timer.stopped,SlowInstrText.started,SlowInstrText.stopped,SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrKey.started,SlowInstrKey.stopped,polygon.started,polygon.stopped,SlowText.started,SlowText.stopped,SlowKey.keys,SlowKey.corr,SlowKey.rt,SlowKey.started,SlowKey.stopped,EndStudyText.started,EndStudyText.stopped,endstudykey.keys,endstudykey.rt,endstudykey.started,endstudykey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,15.64579301001504,None,e,2.247639962937683,17.62871872005053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2021_Nov_20_1200,InfinityThesisTest5,2021.2.3,60.13983038506363,
1,"Each statement will appear on your screen for 5 seconds and you will have those 5 seconds to decide if it is true or false before the next statement appears. There will be a timer on your screen and a reminder when you have 2 seconds remaining. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press E to continue",,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,19.929340127040632,None,e,0.4702234760625288,21.913531112018973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2021_Nov_20_1200,InfinityThesisTest5,2021.2.3,60.13983038506363,
1,"If the statement is true, you will press the “E” key on your keyboard with your left pointer finger; if the statement is false, you will press the “I” key on your keyboard with your right pointer finger. Press E to continue",,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,22.428636768017896,None,e,0.187648713006638,24.412969814962707,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2021_Nov_20_1200,InfinityThesisTest5,2021.2.3,60.13983038506363,
1,,A minute is infinite,i,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,24.679657079977915,25.18014458497055,25.162194550037384,None,e,0,0.6941771031124517,25.162194550037384,None,None,None,,,,,,,,,,,,,,,,,,,,,,0,001,2021_Nov_20_1200,InfinityThesisTest5,2021.2.3,60.13983038506363,
1,,Time  goes on forever,e,,0,0,0,0,0,0,0,0,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,25.895228325971402,26.39558751997538,26.379410885972902,None,e,1,0.4469864659477025,26.379410885972902,None,None,None,,,,,,,,,,,,,,,,,,,,,,0,001,2021_Nov_20_1200,InfinityThesisTest5,2021.2.3,60.13983038506363,
1,,Space has an end,i,,0,0,0,0,0,0,0,0,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,26.863478843006305,27.363657145993784,27.346260324004106,None,e,0,3.5943339789519086,27.346260324004106,None,30.33035766604589,None,,,,,,,,,,,,,,,,,,,,,,0,001,2021_Nov_20_1200,InfinityThesisTest5,2021.2.3,60.13983038506363,
1,,Numbers are finite,i,,0,0,0,0,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,30.96420115698129,31.46346237102989,31.44684029102791,36.447393688955344,None,0,,31.44684029102791,None,34.44670517001068,None,,,,,,,,,,,,,,,,,,,,,,0,001,2021_Nov_20_1200,InfinityThesisTest5,2021.2.3,60.13983038506363,
1,,An inch cannot go on forever,e,,0,0,0,0,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,36.947501883958466,37.447469847043976,37.4308721430134,None,i,0,0.8694548310013488,37.4308721430134,36.947501883958466,None,None,,,,,,,,,,,,,,,,,,,,,,0,001,2021_Nov_20_1200,InfinityThesisTest5,2021.2.3,60.13983038506363,
2,,,,"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",0,1,1,1,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,38.397311878041364,None,e,2.1506380770588294,38.397311878041364,None,,,,,,,,,,,,,,,,0,001,2021_Nov_20_1200,InfinityThesisTest5,2021.2.3,60.13983038506363,
2,,,,We urge you to try your best and take your time. Each statement will appear on your screen and you will have as much time as you need to decide if it is true or false. Press E to continue,0,1,1,1,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,40.5970171779627,None,e,1.8067179159261286,40.5970171779627,None,,,,,,,,,,,,,,,,0,001,2021_Nov_20_1200,InfinityThesisTest5,2021.2.3,60.13983038506363,
2,,,,"If the statement is true, you will press the “E” key on your keyboard with your left pointer finger; if the statement is false, you will press the “I” key on your keyboard with your right pointer finger. Press E to continue",0,1,1,1,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,42.44748894497752,None,e,0.9841993879526854,42.44748894497752,None,,,,,,,,,,,,,,,,0,001,2021_Nov_20_1200,InfinityThesisTest5,2021.2.3,60.13983038506363,
