SlowInstructions,practicetext,practicecorrect,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,SlowInstrText.started,SlowInstrText.stopped,SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrKey.started,SlowInstrKey.stopped,FixcrossPractice.started,FixcrossPractice.stopped,PracticeText.started,PracticeText.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,encouragetext.started,encouragetext.stopped,encouragekey.keys,encouragekey.started,encouragekey.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,encouragekey.rt,participant,session,date,expName,psychopyVersion,frameRate,
"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press F to Continue",,,0,0,0,0,,,,,14.130078499001684,None,f,1.0778168909891974,14.130078499001684,None,,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_14_1828,InfinityThesisTest5,2021.2.3,59.74620482096653,
We urge you to try your best and take your time. Each statement will appear on your screen and you will have as much time as you need to decide if it is true or false. Press F to continue,,,0,1,1,1,,,,,15.247121752996463,None,f,0.6176472119987011,15.247121752996463,None,,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_14_1828,InfinityThesisTest5,2021.2.3,59.74620482096653,
"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press F to continue",,,0,2,2,2,,,,,15.93011130701052,None,f,0.43572779797250405,15.93011130701052,None,,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_14_1828,InfinityThesisTest5,2021.2.3,59.74620482096653,
"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press 'F' to continue.",,,0,3,3,3,,,,,16.412680399022065,None,f,0.3992305469873827,16.412680399022065,None,,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_14_1828,InfinityThesisTest5,2021.2.3,59.74620482096653,
"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press F to continue",,,0,4,4,4,,,,,16.847988549008733,None,f,0.4847053920093458,16.847988549008733,None,,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_14_1828,InfinityThesisTest5,2021.2.3,59.74620482096653,
,A circle is a shape,f,,,,,0,0,0,0,,,,,,,17.41325718400185,17.862853324011667,17.89666928400402,None,f,1,0.5931314989866223,18.397570432018256,None,19.01330594609899,None,None,19.01330594609899,None,19.013764820003416,None,space,1.1025957169767935,19.013764820003416,None,,0,001,2022_Feb_14_1828,InfinityThesisTest5,2021.2.3,59.74620482096653,
,Humans cannot eat food,j,,,,,0,1,1,9,,,,,,,20.163611244002823,20.614919322018977,20.648461773002055,None,j,1,0.9073012699955143,21.148013454017928,None,22.08034808609809,None,None,22.08034808609809,None,22.08107714401558,None,space,0.6410017860180233,22.08107714401558,None,,0,001,2022_Feb_14_1828,InfinityThesisTest5,2021.2.3,59.74620482096653,
,Mississippi is a country,j,,,,,0,2,2,8,,,,,,,22.762666559021454,23.214886444009608,23.24828938601422,None,j,1,0.8189527119975537,23.748266461014282,None,24.597711814093053,None,None,24.597711814093053,None,24.597981828002958,None,space,0.7249786029860843,24.597981828002958,None,,0,001,2022_Feb_14_1828,InfinityThesisTest5,2021.2.3,59.74620482096653,
,Jupiter is the planet we live on,j,,,,,0,3,3,6,,,,,,,25.3630943740136,25.813385461020516,25.847246564022498,None,j,1,0.47161202199640684,26.346419289009646,None,26.846544203106895,None,None,26.846544203106895,None,26.84651929701795,None,space,0.5385017119988333,26.84651929701795,None,,0,001,2022_Feb_14_1828,InfinityThesisTest5,2021.2.3,59.74620482096653,
,The Earth is a star,j,,,,,0,4,4,7,,,,,,,27.430442634009523,27.8800899439957,27.913350320013706,None,j,1,1.3809187209990341,28.41405937401578,None,29.814352625099126,None,None,29.814352625099126,None,29.813713159004692,None,space,1.3461601530143525,29.813713159004692,None,,0,001,2022_Feb_14_1828,InfinityThesisTest5,2021.2.3,59.74620482096653,
,Magenta is a color,f,,,,,0,5,5,2,,,,,,,31.18102261601598,31.6315105020185,31.665201443014666,None,f,1,0.2802753040159587,32.16577530401992,None,32.46511843102053,None,space,32.46511843102053,None,35.6812587500026,None,space,1.1761690369748976,35.6812587500026,None,3.1876041129871737,0,001,2022_Feb_14_1828,InfinityThesisTest5,2021.2.3,59.74620482096653,
,Dinosaurs are extinct,f,,,,,0,6,6,1,,,,,,,36.897288211010164,37.347680653008865,37.38096808400587,None,f,1,1.1066861230065115,37.88075660201139,None,39.014756097100324,None,None,39.014756097100324,None,39.01469922502292,None,space,1.0084045260155108,39.01469922502292,None,,0,001,2022_Feb_14_1828,InfinityThesisTest5,2021.2.3,59.74620482096653,
,A truck is an animal,j,,,,,0,7,7,5,,,,,,,40.06473920500139,40.51561290101381,40.54923833502107,None,f,0,0.08831024801474996,41.048876315006055,None,41.16529343512084,None,None,41.16529343512084,None,41.16549209499499,None,space,0.49562024700571783,41.16549209499499,None,,0,001,2022_Feb_14_1828,InfinityThesisTest5,2021.2.3,59.74620482096653,
