SlowInstructions,practicetext,practicecorrect,Statement,Correct,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowInstrText.started,SlowInstrText.stopped,SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrKey.started,SlowInstrKey.stopped,fixcross1.started,fixcross1.stopped,PracticeText_2.started,PracticeText_2.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,JFALSE.started,JFALSE.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,PracticeEndText.started,PracticeEndText.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,polygon.started,polygon.stopped,SlowText.started,SlowText.stopped,SlowKey.keys,SlowKey.corr,SlowKey.rt,SlowKey.started,SlowKey.stopped,encouragetext.started,encouragetext.stopped,encouragekey.keys,encouragekey.started,encouragekey.stopped,participant,date,expName,psychopyVersion,frameRate,
"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press F to Continue",,,,,0,0,0,0,,,,,,,,,41.92358335699828,None,f,0.3227366279988928,41.92358335699828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2022_Feb_17_1315,slow,2021.2.3,59.95926870946831,
We urge you to try your best and take your time. Each statement will appear on your screen and you will have as much time as you need to decide if it is true or false. Press F to continue,,,,,0,1,1,1,,,,,,,,,42.308235959999365,None,f,0.29765949200009345,42.308235959999365,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2022_Feb_17_1315,slow,2021.2.3,59.95926870946831,
"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press F to continue",,,,,0,2,2,2,,,,,,,,,42.657975326999804,None,f,0.2576490769988595,42.657975326999804,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2022_Feb_17_1315,slow,2021.2.3,59.95926870946831,
"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press 'F' to continue.",,,,,0,3,3,3,,,,,,,,,42.956862278999324,None,f,0.30011513700083015,42.956862278999324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2022_Feb_17_1315,slow,2021.2.3,59.95926870946831,
"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press F to continue",,,,,0,4,4,4,,,,,,,,,43.29102341899852,None,f,0.3205009829998744,43.29102341899852,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2022_Feb_17_1315,slow,2021.2.3,59.95926870946831,
,A clock is used to tell time,f,,,,,,,0,0,0,3,,,,,,,,,,,43.68945677599913,44.19124401899899,44.67407620799895,None,f,1,0.18448055100088823,44.67407620799895,None,43.72329260499828,None,44.88996121599848,None,space,0.9095338329989318,44.88996121599848,None,,,,,,,,,,,,,,,,,,,,,0,2022_Feb_17_1315,slow,2021.2.3,59.95926870946831,
,Humans cannot breathe water,f,,,,,,,0,1,1,4,,,,,,,,,,,45.84159248699871,46.356941476999054,46.82504477799921,None,f,1,0.43256245399970794,46.82504477799921,None,45.87501890199928,None,47.27462545199887,None,space,0.3149349800005439,47.27462545199887,None,,,,,,,,,,,,,,,,,,,,,0,2022_Feb_17_1315,slow,2021.2.3,59.95926870946831,
,A circle is a shape,f,,,,,,,0,2,2,0,,,,,,,,,,,47.62362466999912,48.12360583999907,48.60671862399977,None,f,1,0.3764848900009383,48.60671862399977,None,47.656772766998984,None,49.007353632998274,None,space,0.27383168400047,49.007353632998274,None,,,,,,,,,,,,,,,,,,,,,0,2022_Feb_17_1315,slow,2021.2.3,59.95926870946831,
,Mississippi is a country,j,,,,,,,0,3,3,8,,,,,,,,,,,49.3232587579987,49.82371978299852,50.30797504599832,None,f,0,0.3721712389997265,50.30797504599832,None,49.35697699999946,None,50.708755395999106,None,space,0.29339801000060106,50.708755395999106,None,,,,,,,,,,,,,,,,,,,,,0,2022_Feb_17_1315,slow,2021.2.3,59.95926870946831,
,A truck is an animal,j,,,,,,,0,4,4,5,,,,,,,,,,,51.02481300599902,51.52545488599935,52.008875825998985,None,f,0,0.1961839380001038,52.008875825998985,None,51.058153743999355,None,52.225284769998325,None,space,0.3297545789992,52.225284769998325,None,,,,,,,,,,,,,,,,,,,,,0,2022_Feb_17_1315,slow,2021.2.3,59.95926870946831,
,The Earth is a star,j,,,,,,,0,5,5,7,,,,,,,,,,,52.57453701399936,53.075088680998306,53.558580819999406,None,f,0,0.17051386500133958,53.558580819999406,None,52.60848892799913,None,53.75824878599997,None,space,0.3516798769996967,53.75824878599997,None,,,,,,,,,,,,,,,,,,,,,0,2022_Feb_17_1315,slow,2021.2.3,59.95926870946831,
,Jupiter is the planet we live on,j,,,,,,,0,6,6,6,,,,,,,,,,,54.14185573599934,54.64187584499996,55.125748689999455,None,f,0,0.16810764000001654,55.125748689999455,None,54.17511701999865,None,55.32559725799911,None,space,0.30723981600021943,55.32559725799911,None,,,,,,,,,,,,,,,,,,,,,0,2022_Feb_17_1315,slow,2021.2.3,59.95926870946831,
,Dinosaurs are extinct,f,,,,,,,0,7,7,1,,,,,,,,,,,55.658049280998966,56.1589007249986,56.6421346069983,None,f,1,0.2006097530011175,56.6421346069983,None,55.69196698699852,None,56.87555507899924,None,space,0.3423398110007838,56.87555507899924,None,,,,,,,,,,,,,,,,,,,,,0,2022_Feb_17_1315,slow,2021.2.3,59.95926870946831,
,Humans cannot eat food,j,,,,,,,0,8,8,9,,,,,,,,,,,57.24127639799917,57.74226176499906,58.22516831399844,None,f,0,0.03359421799905249,58.22516831399844,None,57.2759019619989,None,58.29247701099848,None,space,0.3073622810006782,58.29247701099848,None,,,,,,,,,,,,,,,,,,,,,0,2022_Feb_17_1315,slow,2021.2.3,59.95926870946831,
,Magenta is a color,f,,,,,,,0,9,9,2,,,,,,,,,,,58.64188073999867,59.14207457499833,59.60887856699992,None,f,1,2.747672502000569,59.60887856699992,None,58.659159211998485,None,62.37454532399897,None,space,0.3698983779995615,62.37454532399897,None,,,,,,,,,,,,,,,,,,,,,0,2022_Feb_17_1315,slow,2021.2.3,59.95926870946831,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.841420085998834,None,f,0.40116984599990246,63.80778790199838,None,,,,,,,,,,,,,,,0,2022_Feb_17_1315,slow,2021.2.3,59.95926870946831,
,,,Pelicans are alive,f,,,,,,,,,0,0,0,73,,,,,,,,,,,,,,,,,,65.57588539199969,None,space,0.3072915800003102,65.57588539199969,None,,,,,,,64.2911029019997,64.69144688399865,64.77567273299974,None,f,1,0.2993210420008836,65.25943153099979,None,65.57626203279833,None,None,65.57626203279833,None,0,2022_Feb_17_1315,slow,2021.2.3,59.95926870946831,
,,,Orange is a shape,j,,,,,,,,,0,1,1,138,,,,,,,,,,,,,,,,,,67.24169443499886,None,space,0.24627956500080472,67.24169443499886,None,,,,,,,65.92597984299937,66.32504578499902,66.40815968699826,None,f,0,0.3095167350002157,66.90959660299995,None,67.24279491279921,None,None,67.24279491279921,None,0,2022_Feb_17_1315,slow,2021.2.3,59.95926870946831,
