1.1703 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
9.8172 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x140135ac8>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x13ec3da58>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1440,  900]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.8176 	EXP 	window1: mouseVisible = True
9.8177 	EXP 	window1: recordFrameIntervals = False
9.9834 	EXP 	window1: recordFrameIntervals = True
10.1666 	EXP 	window1: recordFrameIntervals = False
10.6147 	EXP 	Created fixedcross = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixedcross', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
10.6156 	DEPRECATION 	'1.0000, 1.0000, 1.0000' is not a valid rgb color
10.6335 	EXP 	Created Statement1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([0., 0., 0.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Statement1', opacity=0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.6566 	EXP 	Imported /Users/sophiecb/Downloads/SoftwareTrial1.xlsx as conditions, 7 conditions, 2 params
10.6572 	EXP 	Created sequence: random, trialTypes=7, nReps=1, seed=None
10.6576 	EXP 	New trial (rep=0, index=0): {'Statement': 'Space has an end', 'Correct': 'i'}
10.7332 	EXP 	Statement1: text = 'dog'
10.7332 	EXP 	fixedcross: autoDraw = True
11.2323 	EXP 	fixedcross: autoDraw = False
11.3162 	EXP 	Statement1: autoDraw = True
11.5353 	EXP 	New trial (rep=0, index=1): {'Statement': 'Numbers are infinite', 'Correct': 'e'}
11.5401 	DATA 	Keypress: e
11.5498 	EXP 	fixedcross: autoDraw = False
11.5498 	EXP 	Statement1: autoDraw = False
11.5498 	EXP 	Statement1: text = 'dog'
11.5498 	EXP 	fixedcross: autoDraw = True
12.0501 	EXP 	fixedcross: autoDraw = False
12.1334 	EXP 	Statement1: autoDraw = True
12.7336 	EXP 	New trial (rep=0, index=2): {'Statement': 'Time is endless', 'Correct': 'e'}
12.7371 	DATA 	Keypress: e
12.7483 	EXP 	fixedcross: autoDraw = False
12.7483 	EXP 	Statement1: autoDraw = False
12.7483 	EXP 	Statement1: text = 'dog'
12.7483 	EXP 	fixedcross: autoDraw = True
13.2494 	EXP 	fixedcross: autoDraw = False
13.3317 	EXP 	Statement1: autoDraw = True
13.4842 	EXP 	New trial (rep=0, index=3): {'Statement': 'A minute is finite', 'Correct': 'e'}
13.4879 	DATA 	Keypress: e
13.5000 	EXP 	fixedcross: autoDraw = False
13.5000 	EXP 	Statement1: autoDraw = False
13.5000 	EXP 	Statement1: text = 'dog'
13.5000 	EXP 	fixedcross: autoDraw = True
13.7856 	DATA 	Keypress: e
13.9531 	DATA 	Keypress: e
13.9999 	EXP 	fixedcross: autoDraw = False
14.0833 	EXP 	Statement1: autoDraw = True
14.1021 	EXP 	New trial (rep=0, index=4): {'Statement': 'Space can go on forever', 'Correct': 'e'}
14.1063 	DATA 	Keypress: e
14.1152 	EXP 	fixedcross: autoDraw = False
14.1152 	EXP 	Statement1: autoDraw = False
14.1152 	EXP 	Statement1: text = 'dog'
14.1152 	EXP 	fixedcross: autoDraw = True
14.6165 	EXP 	fixedcross: autoDraw = False
14.6999 	EXP 	Statement1: autoDraw = True
16.2709 	DATA 	Keypress: escape
16.6215 	EXP 	window1: mouseVisible = True
