1.7138 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
9.4765 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
10.1809 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x140743cc0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x13f0a1ef0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1440,  900]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.1814 	EXP 	window1: mouseVisible = True
10.1816 	EXP 	window1: recordFrameIntervals = False
10.3451 	EXP 	window1: recordFrameIntervals = True
10.5288 	EXP 	window1: recordFrameIntervals = False
11.1016 	EXP 	Created Instr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='Instr', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
11.1232 	EXP 	Created fixcross = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixcross', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
11.1256 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
11.1623 	EXP 	Instr: autoDraw = True
21.1636 	EXP 	Instr: autoDraw = False
29.7192 	EXP 	Imported InfinityThesisTest5.xlsx as conditions, 5 conditions, 2 params
29.7205 	EXP 	Created sequence: random, trialTypes=5, nReps=1, seed=None
29.7212 	EXP 	New trial (rep=0, index=0): {'Statement': 'Time  goes on forever', 'Correct': 'e'}
29.7493 	DATA 	Keypress: e
29.7620 	EXP 	Instr: autoDraw = False
29.7620 	EXP 	text: text = 'Time  goes on forever'
29.7620 	EXP 	fixcross: autoDraw = True
30.2306 	EXP 	text: autoDraw = True
30.2637 	EXP 	fixcross: autoDraw = False
32.7672 	EXP 	New trial (rep=0, index=1): {'Statement': 'Numbers are finite', 'Correct': 'i'}
32.7805 	DATA 	Keypress: e
32.7956 	EXP 	fixcross: autoDraw = False
32.7956 	EXP 	text: autoDraw = False
32.7956 	EXP 	text: text = 'Numbers are finite'
32.7956 	EXP 	fixcross: autoDraw = True
33.2805 	EXP 	text: autoDraw = True
33.2974 	EXP 	fixcross: autoDraw = False
34.4495 	EXP 	New trial (rep=0, index=2): {'Statement': 'An inch cannot go on forever', 'Correct': 'e'}
34.4601 	DATA 	Keypress: e
34.4804 	EXP 	fixcross: autoDraw = False
34.4804 	EXP 	text: autoDraw = False
34.4804 	EXP 	text: text = 'An inch cannot go on forever'
34.4804 	EXP 	fixcross: autoDraw = True
34.9638 	EXP 	text: autoDraw = True
34.9810 	EXP 	fixcross: autoDraw = False
36.6323 	EXP 	New trial (rep=0, index=3): {'Statement': 'Space has an end', 'Correct': 'i'}
36.6435 	DATA 	Keypress: i
36.6642 	EXP 	fixcross: autoDraw = False
36.6642 	EXP 	text: autoDraw = False
36.6642 	EXP 	text: text = 'Space has an end'
36.6642 	EXP 	fixcross: autoDraw = True
37.1472 	EXP 	text: autoDraw = True
37.1644 	EXP 	fixcross: autoDraw = False
38.6034 	DATA 	Keypress: i
38.6172 	EXP 	New trial (rep=0, index=4): {'Statement': 'A minute is infinite', 'Correct': 'i'}
38.6476 	EXP 	fixcross: autoDraw = False
38.6476 	EXP 	text: autoDraw = False
38.6476 	EXP 	text: text = 'A minute is infinite'
38.6476 	EXP 	fixcross: autoDraw = True
39.1313 	EXP 	text: autoDraw = True
39.1473 	EXP 	fixcross: autoDraw = False
40.2207 	DATA 	Keypress: i
40.2307 	EXP 	fixcross: autoDraw = False
40.2307 	EXP 	text: autoDraw = False
40.5113 	EXP 	window1: mouseVisible = True
