SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect
space,3.3508,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",1577,2022-03-31_08h46.15.520,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
space,2.8168,0,1,1,1,1,We urge you to try your best and take your time. Each statement will appear on your screen and you will have as much time as you need to decide if it is true or false. Press SPACE to continue,1577,2022-03-31_08h46.15.520,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
space,1.2613,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",1577,2022-03-31_08h46.15.520,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
space,0.5675,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",1577,2022-03-31_08h46.15.520,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
space,2.1005,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",1577,2022-03-31_08h46.15.520,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,,,,,,,1577,2022-03-31_08h46.15.520,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,f,0,5.2339,space,2.0125,0,0,0,5,1,A truck is an animal,j
,,,,,,,,1577,2022-03-31_08h46.15.520,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,0,,,,0,1,1,7,1,The Earth is a star,j
,,,,,,,,1577,2022-03-31_08h46.15.520,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,0,,,,0,2,2,4,1,Humans cannot breathe water,f
,,,,,,,,1577,2022-03-31_08h46.15.520,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,0,,,,0,3,3,3,1,A clock is used to tell time,f
,,,,,,,,1577,2022-03-31_08h46.15.520,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,0,,,,0,4,4,0,1,A circle is a shape,f
