key_resp_6.keys,key_resp_6.rt,SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect
space,2.2288,space,0.5509,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",1581,2022-02-21_16h31.33.713,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,
,,space,0.4067,0,1,1,1,1,We urge you to try your best and take your time. Each statement will appear on your screen and you will have as much time as you need to decide if it is true or false. Press SPACE to continue,1581,2022-02-21_16h31.33.713,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,
,,space,0.3996,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",1581,2022-02-21_16h31.33.713,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,
,,space,0.3262,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",1581,2022-02-21_16h31.33.713,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,
,,space,0.3229,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",1581,2022-02-21_16h31.33.713,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,
,,,,,,,,,,1581,2022-02-21_16h31.33.713,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,j,1,2.677,space,0.5394,0,0,0,5,1,A truck is an animal,j
,,,,,,,,,,1581,2022-02-21_16h31.33.713,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,j,1,0.966,space,0.2356,0,1,1,9,1,Humans cannot eat food,j
,,,,,,,,,,1581,2022-02-21_16h31.33.713,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,j,1,1.0393,space,0.2563,0,2,2,6,1,Jupiter is the planet we live on,j
,,,,,,,,,,1581,2022-02-21_16h31.33.713,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,f,1,0.9734,space,0.2241,0,3,3,1,1,Dinosaurs are extinct,f
,,,,,,,,,,1581,2022-02-21_16h31.33.713,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,j,1,0.7639,space,0.2187,0,4,4,8,1,Mississippi is a country,j
,,,,,,,,,,1581,2022-02-21_16h31.33.713,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,f,1,1.0379,space,0.3194,0,5,5,0,1,A circle is a shape,f
,,,,,,,,,,1581,2022-02-21_16h31.33.713,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,j,0,1.2184,space,0.2671,0,6,6,4,1,Humans cannot breathe water,f
,,,,,,,,,,1581,2022-02-21_16h31.33.713,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,j,1,1.2658,space,0.2185,0,7,7,7,1,The Earth is a star,j
,,,,,,,,,,1581,2022-02-21_16h31.33.713,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,f,1,1.0819,space,0.1784,0,8,8,2,1,Magenta is a color,f
,,,,,,,,,,1581,2022-02-21_16h31.33.713,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,f,1,1.1468,space,0.189,0,9,9,3,1,A clock is used to tell time,f
