SlowInstructions,practicetext,practicecorrect,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,SlowInstrText.started,SlowInstrText.stopped,SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrKey.started,SlowInstrKey.stopped,FixcrossPractice.started,FixcrossPractice.stopped,PracticeText.started,PracticeText.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PracticeEndText.started,PracticeEndText.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",,,0,0,0,0,,,,,13.324283093999838,None,e,0.9368547560006846,13.324283093999838,None,,,,,,,,,,,,,,,,1,001,2021_Dec_30_1633,InfinityThesisTest5,2021.2.3,60.04831079102246,
We urge you to try your best and take your time. Each statement will appear on your screen and you will have as much time as you need to decide if it is true or false. Press E to continue,,,0,1,1,1,,,,,14.324487460995442,None,e,0.45160277499235235,14.324487460995442,None,,,,,,,,,,,,,,,,1,001,2021_Dec_30_1633,InfinityThesisTest5,2021.2.3,60.04831079102246,
"If the statement is true, you will press the “E” key on your keyboard with your left pointer finger; if the statement is false, you will press the “I” key on your keyboard with your right pointer finger. Press E to continue",,,0,2,2,2,,,,,14.824385234009242,None,e,0.2856895290024113,14.824385234009242,None,,,,,,,,,,,,,,,,1,001,2021_Dec_30_1633,InfinityThesisTest5,2021.2.3,60.04831079102246,
"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. ",,,0,3,3,3,,,,,15.158983087007073,None,e,0.28823727200506255,15.158983087007073,None,,,,,,,,,,,,,,,,1,001,2021_Dec_30_1633,InfinityThesisTest5,2021.2.3,60.04831079102246,
"If the statement is true, press the “E” key on your keyboard with your left pointer finger; if the statement is false, press the “I” key on your keyboard with your right pointer finger. Press E to continue",,,0,4,4,4,,,,,15.492396640998777,None,e,0.34375893700052984,15.492396640998777,None,,,,,,,,,,,,,,,,1,001,2021_Dec_30_1633,InfinityThesisTest5,2021.2.3,60.04831079102246,
,Mississippi is a country,i,,,,,0,0,0,8,,,,,,,15.892367709995597,16.34164009199594,16.37516752400552,None,e,0,0.25062499700288754,17.876330929007963,None,,,,,,,1,001,2021_Dec_30_1633,InfinityThesisTest5,2021.2.3,60.04831079102246,
,A circle is a shape,e,,,,,0,1,1,0,,,,,,,18.15776075499889,18.6091356179968,18.642289290000917,None,e,1,0.22879068300244398,20.1411507360026,None,,,,,,,1,001,2021_Dec_30_1633,InfinityThesisTest5,2021.2.3,60.04831079102246,
,A truck is an animal,i,,,,,0,2,2,5,,,,,,,20.391884024997125,20.84216167400882,20.87615308399836,None,e,0,0.15500977099873126,22.374742147003417,None,,,,,,,1,001,2021_Dec_30_1633,InfinityThesisTest5,2021.2.3,60.04831079102246,
,Dinosaurs are extinct,e,,,,,0,3,3,1,,,,,,,22.57449853500293,23.02601761400001,23.059692285009078,None,e,1,0.2654292209917912,24.55926111100416,None,,,,,,,1,001,2021_Dec_30_1633,InfinityThesisTest5,2021.2.3,60.04831079102246,
,Humans cannot eat food,i,,,,,0,4,4,9,,,,,,,24.8429307769984,25.292866261996096,25.325945194999804,None,e,0,0.05116539700247813,26.82617765800387,None,,,,,,,1,001,2021_Dec_30_1633,InfinityThesisTest5,2021.2.3,60.04831079102246,
,A clock is used to tell time,e,,,,,0,5,5,3,,,,,,,26.926519002998248,27.376376900996547,27.41014074800478,None,e,1,0.30237946299894247,28.909824041009415,None,,,,,,,1,001,2021_Dec_30_1633,InfinityThesisTest5,2021.2.3,60.04831079102246,
,The Earth is a star,i,,,,,0,6,6,7,,,,,,,29.25974222199875,29.70987600099761,29.743344590999186,None,e,0,0.25150553799176123,31.24355250800727,None,,,,,,,1,001,2021_Dec_30_1633,InfinityThesisTest5,2021.2.3,60.04831079102246,
,Jupiter is the planet we live on,i,,,,,0,7,7,6,,,,,,,31.543089831000543,31.993570930004353,32.01035012300417,None,e,0,0.6648624200024642,33.52728727599606,None,,,,,,,1,001,2021_Dec_30_1633,InfinityThesisTest5,2021.2.3,60.04831079102246,
,Magenta is a color,e,,,,,0,8,8,2,,,,,,,34.2096951380081,34.659888088004664,34.69356315700861,None,e,1,0.17535042199597228,36.193563915003324,None,,,,,,,1,001,2021_Dec_30_1633,InfinityThesisTest5,2021.2.3,60.04831079102246,
,Humans cannot breathe water,e,,,,,0,9,9,4,,,,,,,36.410078836997855,36.86054994699953,36.893822188998456,None,e,1,0.45206650500767864,38.393555841001216,None,,,,,,,1,001,2021_Dec_30_1633,InfinityThesisTest5,2021.2.3,60.04831079102246,
,,,,,,,,,,,,,,,,,,,,,,,,,,38.89379257299879,None,e,0.8421749629924307,41.87729093899543,None,1,001,2021_Dec_30_1633,InfinityThesisTest5,2021.2.3,60.04831079102246,
