SlowInstructions,practicetext,practicecorrect,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,Statement,Correct,SlowInstrText.started,SlowInstrText.stopped,SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrKey.started,SlowInstrKey.stopped,FixcrossPractice.started,FixcrossPractice.stopped,PracticeText.started,PracticeText.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PracticeEndText.started,PracticeEndText.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",,,0,0,0,0,,,,,,,,,,,13.556089270001394,None,e,1.4216919239988783,13.556089270001394,None,,,,,,,,,,,,,,,,1,001,2021_Dec_30_1637,InfinityThesisTest5,2021.2.3,59.946681980473734,
We urge you to try your best and take your time. Each statement will appear on your screen and you will have as much time as you need to decide if it is true or false. Press E to continue,,,0,1,1,1,,,,,,,,,,,15.039395740997861,None,e,0.2603367700066883,15.039395740997861,None,,,,,,,,,,,,,,,,1,001,2021_Dec_30_1637,InfinityThesisTest5,2021.2.3,59.946681980473734,
"If the statement is true, you will press the “E” key on your keyboard with your left pointer finger; if the statement is false, you will press the “I” key on your keyboard with your right pointer finger. Press E to continue",,,0,2,2,2,,,,,,,,,,,15.339028989998042,None,e,0.2065498900046805,15.339028989998042,None,,,,,,,,,,,,,,,,1,001,2021_Dec_30_1637,InfinityThesisTest5,2021.2.3,59.946681980473734,
"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. ",,,0,3,3,3,,,,,,,,,,,15.588640710993786,None,e,2.259770466000191,15.588640710993786,None,,,,,,,,,,,,,,,,1,001,2021_Dec_30_1637,InfinityThesisTest5,2021.2.3,59.946681980473734,
"If the statement is true, press the “E” key on your keyboard with your left pointer finger; if the statement is false, press the “I” key on your keyboard with your right pointer finger. Press E to continue",,,0,4,4,4,,,,,,,,,,,17.889212245005183,None,e,1.955205776001094,17.889212245005183,None,,,,,,,,,,,,,,,,1,001,2021_Dec_30_1637,InfinityThesisTest5,2021.2.3,59.946681980473734,
,Humans cannot breathe water,e,,,,,0,0,0,4,,,,,,,,,,,,,19.922442498995224,20.37312397400092,20.40573670399317,None,e,1,1.3621956519928062,21.906852108004387,None,,,,,,,1,001,2021_Dec_30_1637,InfinityThesisTest5,2021.2.3,59.946681980473734,
,A clock is used to tell time,e,,,,,0,1,1,3,,,,,,,,,,,,,23.306283657992026,23.75538836499618,23.788260639994405,None,e,1,0.6734977239975706,25.273388096000417,None,,,,,,,1,001,2021_Dec_30_1637,InfinityThesisTest5,2021.2.3,59.946681980473734,
,Magenta is a color,e,,,,,0,2,2,2,,,,,,,,,,,,,25.990038763993653,26.442454402000294,26.45716808499128,None,e,1,6.203613464007503,27.957173700997373,None,,,,,,,1,001,2021_Dec_30_1637,InfinityThesisTest5,2021.2.3,59.946681980473734,
,Jupiter is the planet we live on,i,,,,,0,3,3,6,,,,,,,,,,,,,34.207135969991214,34.65761149999162,34.67420520799351,None,e,0,3.854982837990974,36.17449696699623,None,,,,,,,1,001,2021_Dec_30_1637,InfinityThesisTest5,2021.2.3,59.946681980473734,
,Mississippi is a country,i,,,,,0,4,4,8,,,,,,,,,,,,,40.056114036997315,40.50695155300491,40.541684990996146,None,e,0,1.4517189289908856,42.040664562999154,None,,,,,,,1,001,2021_Dec_30_1637,InfinityThesisTest5,2021.2.3,59.946681980473734,
,A circle is a shape,e,,,,,0,5,5,0,,,,,,,,,,,,,43.52395791000163,43.974931920005474,44.00848853899515,None,e,1,1.3127801390073728,45.50834143300017,None,,,,,,,1,001,2021_Dec_30_1637,InfinityThesisTest5,2021.2.3,59.946681980473734,
,The Earth is a star,i,,,,,0,6,6,7,,,,,,,,,,,,,46.84028802800458,47.29167743699509,47.32484316600312,None,e,0,0.25284222699701786,48.82414802299172,None,,,,,,,1,001,2021_Dec_30_1637,InfinityThesisTest5,2021.2.3,59.946681980473734,
,Dinosaurs are extinct,e,,,,,0,7,7,1,,,,,,,,,,,,,49.10720531900006,49.55874970500008,49.591262216999894,None,e,1,0.6555724840000039,51.092256652002106,None,,,,,,,1,001,2021_Dec_30_1637,InfinityThesisTest5,2021.2.3,59.946681980473734,
,Humans cannot eat food,i,,,,,0,8,8,9,,,,,,,,,,,,,51.791616517002694,52.24250931899587,52.27523154100345,None,e,0,1.6849513670022134,53.773874791993876,None,,,,,,,1,001,2021_Dec_30_1637,InfinityThesisTest5,2021.2.3,59.946681980473734,
,A truck is an animal,i,,,,,0,9,9,5,,,,,,,,,,,,,55.4923505189945,55.94213579199277,55.97583951099659,None,e,0,0.5036302679945948,57.475940465999884,None,,,,,,,1,001,2021_Dec_30_1637,InfinityThesisTest5,2021.2.3,59.946681980473734,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.04313923999143,None,e,1.2403199249965837,61.00888668799598,None,1,001,2021_Dec_30_1637,InfinityThesisTest5,2021.2.3,59.946681980473734,
