Statement,Correct,n,SlowKey.corr_mean,SlowKey.corr_raw,SlowKey.corr_std,SlowKey.keys_raw,SlowKey.rt_mean,SlowKey.rt_raw,SlowKey.rt_std,SlowKey.started_mean,SlowKey.started_raw,SlowKey.started_std,SlowKey.stopped_raw,SlowText.started_mean,SlowText.started_raw,SlowText.started_std,SlowText.stopped_raw,encouragekey.keys_raw,encouragekey.rt_mean,encouragekey.rt_raw,encouragekey.rt_std,encouragekey.started_raw,encouragekey.stopped_raw,encouragetext.started_raw,encouragetext.stopped_raw,key_resp_4.keys_raw,key_resp_4.rt_mean,key_resp_4.rt_raw,key_resp_4.rt_std,key_resp_4.started_mean,key_resp_4.started_raw,key_resp_4.started_std,key_resp_4.stopped_raw,polygon.started_mean,polygon.started_raw,polygon.started_std,polygon.stopped_mean,polygon.stopped_raw,polygon.stopped_std,text.started_mean,text.started_raw,text.started_std,text.stopped_raw,order
A minute is finite,f,1.0,1.0,1.0,0.0,'f',0.4840002655982971,0.4840002655982971,0.0,141.05828857421875,141.05828857421875,0.0,,140.5586395263672,140.5586395263672,0.0,,,,,,141.57489333179547,,141.57489333179547,,'space',0.6065949201583862,0.6065949201583862,0.0,141.57542419433594,141.57542419433594,0.0,,140.07449340820312,140.07449340820312,0.0,140.47537231445312,140.47537231445312,0.0,141.57542419433594,141.57542419433594,0.0,,31.0
A minute is infinite,j,1.0,1.0,1.0,0.0,'j',0.766282320022583,0.766282320022583,0.0,233.2151641845703,233.2151641845703,0.0,,232.71408081054688,232.71408081054688,0.0,,,,,,234.0139088408032,,234.0139088408032,,'space',0.027409525588154793,0.027409525588154793,0.0,234.0139923095703,234.0139923095703,0.0,,232.22991943359375,232.22991943359375,0.0,232.63157653808594,232.63157653808594,0.0,234.0139923095703,234.0139923095703,0.0,,68.0
A minute has an end,f,1.0,1.0,1.0,0.0,'f',0.8948084712028503,0.8948084712028503,0.0,175.72743225097656,175.72743225097656,0.0,,175.22764587402344,175.22764587402344,0.0,,,,,,176.64277419279097,,176.64277419279097,,'space',0.3297722339630127,0.3297722339630127,0.0,176.64414978027344,176.64414978027344,0.0,,174.7436981201172,174.7436981201172,0.0,175.14401245117188,175.14401245117188,0.0,176.64414978027344,176.64414978027344,0.0,,47.0
A minute is endless,j,1.0,1.0,1.0,0.0,'j',2.5195603370666504,2.5195603370666504,0.0,66.93624114990234,66.93624114990234,0.0,,66.43541717529297,66.43541717529297,0.0,,,,,,69.48622399879969,,69.48622399879969,,'space',0.4177655279636383,0.4177655279636383,0.0,69.48687744140625,69.48687744140625,0.0,,65.96926879882812,65.96926879882812,0.0,66.36978149414062,66.36978149414062,0.0,69.48687744140625,69.48687744140625,0.0,,4.0
A minute cannot go on forever,f,1.0,1.0,1.0,0.0,'f',2.0877904891967773,2.0877904891967773,0.0,216.7137451171875,216.7137451171875,0.0,,216.21377563476562,216.21377563476562,0.0,,,,,,218.82924585480941,,218.82924585480941,,'space',0.37830716371536255,0.37830716371536255,0.0,218.82894897460938,218.82894897460938,0.0,,215.72952270507812,215.72952270507812,0.0,216.1297149658203,216.1297149658203,0.0,218.82894897460938,218.82894897460938,0.0,,61.0
A minute can go on forever,j,1.0,1.0,1.0,0.0,'j',2.5066909790039062,2.5066909790039062,0.0,92.80358123779297,92.80358123779297,0.0,,92.30390167236328,92.30390167236328,0.0,,,,,,95.33772685480653,,95.33772685480653,,'space',0.13626661896705627,0.13626661896705627,0.0,95.33792114257812,95.33792114257812,0.0,,91.82118225097656,91.82118225097656,0.0,92.22525787353516,92.22525787353516,0.0,95.33792114257812,95.33792114257812,0.0,,11.0
A minute cannot be further divided,j,1.0,1.0,1.0,0.0,'j',3.553506851196289,3.553506851196289,0.0,57.684837341308594,57.684837341308594,0.0,,57.18498229980469,57.18498229980469,0.0,,,,,,61.269045006803935,,61.269045006803935,,'space',0.47050997614860535,0.47050997614860535,0.0,61.26980972290039,61.26980972290039,0.0,,56.70193862915039,56.70193862915039,0.0,57.10193634033203,57.10193634033203,0.0,61.26980972290039,61.26980972290039,0.0,,1.0
A minute can be further divided,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
An inch is finite,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
An inch is infinite,j,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
