SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,SlowKey.keys,SlowKey.corr,SlowKey.rt,encouragekey.keys,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,5.9,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",2476,2022-04-06_19h29.09,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,7.945,0,1,1,1,1,"We urge you to try your best and take your time. Each statement will appear on your screen and you will have 10 seconds to decide if it is true or false. You will hear a beep at 6 seconds that will prompt you to respond within the next 4 seconds. If you fail to respond within this time, the trial will be counted as incorrect and the next statement will appear. Press SPACE to continue",2476,2022-04-06_19h29.09,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,9.418,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",2476,2022-04-06_19h29.09,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.778,0,3,3,3,1,Take your time and go slowly! You have 10 seconds to answer! Press SPACE to continue. ,2476,2022-04-06_19h29.09,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2476,2022-04-06_19h29.09,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,62.5,f,1,2.122,space,1.253,0,0,0,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,,
,,,,,,,,2476,2022-04-06_19h29.09,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,62.5,f,1,1.41,space,0.659,0,1,1,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,,
,,,,,,,,2476,2022-04-06_19h29.09,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,62.5,j,1,1.011,space,0.604,0,2,2,5,1,A truck is an animal,j,,,,,,,,,,,,,,,,
,,,,,,,,2476,2022-04-06_19h29.09,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,62.5,j,1,1.192,space,0.491,0,3,3,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,,
,,,,,,,,2476,2022-04-06_19h29.09,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,62.5,j,1,1.153,space,0.301,0,4,4,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,,
,,,,,,,,2476,2022-04-06_19h29.09,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,62.5,f,1,0.886,space,0.375,0,5,5,2,1,Magenta is a color,f,,,,,,,,,,,,,,,,
,,,,,,,,2476,2022-04-06_19h29.09,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,62.5,j,1,1.721,space,0.408,0,6,6,7,1,The Earth is a star,j,,,,,,,,,,,,,,,,
,,,,,,,,2476,2022-04-06_19h29.09,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,62.5,f,1,1.397,space,0.401,0,7,7,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,,
,,,,,,,,2476,2022-04-06_19h29.09,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,62.5,f,1,1.212,space,0.267,0,8,8,0,1,A circle is a shape,f,,,,,,,,,,,,,,,,
,,,,,,,,2476,2022-04-06_19h29.09,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,62.5,j,1,1.07,space,0.394,0,9,9,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,,
,,,,,,,,2476,2022-04-06_19h29.09,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,62.5,,,,space,0.475,,,,,,,,space,11.487,j,1,1.458,,0,0,0,118,1,A horse is used to tell time,j,,,
