SlowInstructions,practicetext,practicecorrect,Statement,Correct,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowInstrText.started,SlowInstrText.stopped,SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrKey.started,SlowInstrKey.stopped,FixcrossPractice.started,FixcrossPractice.stopped,PracticeText.started,PracticeText.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,PracticeEndText.started,PracticeEndText.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,polygon.started,polygon.stopped,SlowText.started,SlowText.stopped,SlowKey.keys,SlowKey.corr,SlowKey.rt,SlowKey.started,SlowKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",,,,,0,0,0,0,,,,,,,,,10.59852857500664,None,e,0.4556336880050367,10.59852857500664,None,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2021_Dec_30_1634,InfinityThesisTest5,2021.2.3,60.05624964482197,
We urge you to try your best and take your time. Each statement will appear on your screen and you will have as much time as you need to decide if it is true or false. Press E to continue,,,,,0,1,1,1,,,,,,,,,11.116582589995232,None,e,0.5206956070032902,11.116582589995232,None,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2021_Dec_30_1634,InfinityThesisTest5,2021.2.3,60.05624964482197,
"If the statement is true, you will press the “E” key on your keyboard with your left pointer finger; if the statement is false, you will press the “I” key on your keyboard with your right pointer finger. Press E to continue",,,,,0,2,2,2,,,,,,,,,11.683770604009624,None,e,0.26718738400086295,11.683770604009624,None,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2021_Dec_30_1634,InfinityThesisTest5,2021.2.3,60.05624964482197,
"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. ",,,,,0,3,3,3,,,,,,,,,11.999989350995747,None,e,0.28496096799790394,11.999989350995747,None,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2021_Dec_30_1634,InfinityThesisTest5,2021.2.3,60.05624964482197,
"If the statement is true, press the “E” key on your keyboard with your left pointer finger; if the statement is false, press the “I” key on your keyboard with your right pointer finger. Press E to continue",,,,,0,4,4,4,,,,,,,,,12.333415355999023,None,e,1.431722314999206,12.333415355999023,None,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2021_Dec_30_1634,InfinityThesisTest5,2021.2.3,60.05624964482197,
,Dinosaurs are extinct,e,,,,,,,0,0,0,1,,,,,,,,,,,13.833042779995594,14.283568715996807,14.300352951002424,None,e,1,0.012745471991365775,15.815937061008299,None,,,,,,,,,,,,,,,,2,001,2021_Dec_30_1634,InfinityThesisTest5,2021.2.3,60.05624964482197,
,Humans cannot eat food,i,,,,,,,0,1,1,9,,,,,,,,,,,15.865506724003353,16.317350708006416,16.333772509009577,None,e,0,0.5075243530009175,17.849210608997964,None,,,,,,,,,,,,,,,,2,001,2021_Dec_30_1634,InfinityThesisTest5,2021.2.3,60.05624964482197,
,Jupiter is the planet we live on,i,,,,,,,0,2,2,6,,,,,,,,,,,18.400580236004316,18.850820441002725,18.883927606002544,None,e,0,2.570030474991654,20.38453347000177,None,,,,,,,,,,,,,,,,2,001,2021_Dec_30_1634,InfinityThesisTest5,2021.2.3,60.05624964482197,
,Humans cannot breathe water,e,,,,,,,0,3,3,4,,,,,,,,,,,23.000876505000633,23.450815254007466,23.483813672995893,None,e,1,1.3644848890107824,24.984427393996157,None,,,,,,,,,,,,,,,,2,001,2021_Dec_30_1634,InfinityThesisTest5,2021.2.3,60.05624964482197,
,A truck is an animal,i,,,,,,,0,4,4,5,,,,,,,,,,,26.36728456200217,26.818367621002835,26.850972446001833,None,e,0,0.3634019049932249,28.351281392999226,None,,,,,,,,,,,,,,,,2,001,2021_Dec_30_1634,InfinityThesisTest5,2021.2.3,60.05624964482197,
,The Earth is a star,i,,,,,,,0,5,5,7,,,,,,,,,,,28.73486817300727,29.185269527995843,29.218084081003326,None,e,0,1.2008172939968063,30.718590322008822,None,,,,,,,,,,,,,,,,2,001,2021_Dec_30_1634,InfinityThesisTest5,2021.2.3,60.05624964482197,
,Mississippi is a country,i,,,,,,,0,6,6,8,,,,,,,,,,,31.968317470003967,32.41836317800335,32.45137676500599,None,e,0,0.22795281000435352,33.95148760199663,None,,,,,,,,,,,,,,,,2,001,2021_Dec_30_1634,InfinityThesisTest5,2021.2.3,60.05624964482197,
,A clock is used to tell time,e,,,,,,,0,7,7,3,,,,,,,,,,,34.20108062399959,34.650194916001055,34.68370283799595,None,e,1,0.13906177200260572,36.18518622299598,None,,,,,,,,,,,,,,,,2,001,2021_Dec_30_1634,InfinityThesisTest5,2021.2.3,60.05624964482197,
,A circle is a shape,e,,,,,,,0,8,8,0,,,,,,,,,,,36.35063536700909,36.80061878099514,36.8337511169957,None,e,1,0.310433301012381,38.33571486300207,None,,,,,,,,,,,,,,,,2,001,2021_Dec_30_1634,InfinityThesisTest5,2021.2.3,60.05624964482197,
,Magenta is a color,e,,,,,,,0,9,9,2,,,,,,,,,,,38.667967718996806,39.11928144200647,39.152534587003174,None,e,1,0.4008028489915887,40.65202956099529,None,,,,,,,,,,,,,,,,2,001,2021_Dec_30_1634,InfinityThesisTest5,2021.2.3,60.05624964482197,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.10087200700946,None,e,0.14996063499711454,44.084917316999054,None,,,,,,,,,,2,001,2021_Dec_30_1634,InfinityThesisTest5,2021.2.3,60.05624964482197,
,,,Turtles need nutrients,e,,,,,,,,,0,0,0,74,,,,,,,,,,,,,,,,,,,,,,44.301585688997875,44.70099885799573,44.76893537600699,None,e,1,1.1510143399937078,46.269379414996365,None,2,001,2021_Dec_30_1634,InfinityThesisTest5,2021.2.3,60.05624964482197,
,,,A minute is finite,e,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,47.45066665200284,47.852949446009006,47.93636488199991,None,e,1,0.33167333200981375,49.43583456700435,None,2,001,2021_Dec_30_1634,InfinityThesisTest5,2021.2.3,60.05624964482197,
