selectBlock,BlockSelectLoop.thisRepN,BlockSelectLoop.thisTrialN,BlockSelectLoop.thisN,BlockSelectLoop.thisIndex,SpeededBlock.thisRepN,SpeededBlock.thisTrialN,SpeededBlock.thisN,SpeededBlock.thisIndex,SlowBlock.thisRepN,SlowBlock.thisTrialN,SlowBlock.thisN,SlowBlock.thisIndex,participant,session,date,expName,psychopyVersion,frameRate,
1,0,0,0,0,,,,,,,,,2,001,2021_Nov_16_1539,InfinityThesisTest5,2021.2.3,59.927901218593895,
2,0,1,1,1,,,,,,,,,2,001,2021_Nov_16_1539,InfinityThesisTest5,2021.2.3,59.927901218593895,
1,0,2,2,2,,,,,,,,,2,001,2021_Nov_16_1539,InfinityThesisTest5,2021.2.3,59.927901218593895,
2,0,3,3,3,,,,,,,,,2,001,2021_Nov_16_1539,InfinityThesisTest5,2021.2.3,59.927901218593895,
1,0,4,4,4,,,,,,,,,2,001,2021_Nov_16_1539,InfinityThesisTest5,2021.2.3,59.927901218593895,
2,0,5,5,5,,,,,,,,,2,001,2021_Nov_16_1539,InfinityThesisTest5,2021.2.3,59.927901218593895,
1,0,6,6,6,,,,,,,,,2,001,2021_Nov_16_1539,InfinityThesisTest5,2021.2.3,59.927901218593895,
2,0,7,7,7,,,,,,,,,2,001,2021_Nov_16_1539,InfinityThesisTest5,2021.2.3,59.927901218593895,
1,0,8,8,8,,,,,,,,,2,001,2021_Nov_16_1539,InfinityThesisTest5,2021.2.3,59.927901218593895,
2,0,9,9,9,,,,,,,,,2,001,2021_Nov_16_1539,InfinityThesisTest5,2021.2.3,59.927901218593895,
1,0,10,10,10,,,,,,,,,2,001,2021_Nov_16_1539,InfinityThesisTest5,2021.2.3,59.927901218593895,
2,0,11,11,11,,,,,,,,,2,001,2021_Nov_16_1539,InfinityThesisTest5,2021.2.3,59.927901218593895,
1,0,12,12,12,,,,,,,,,2,001,2021_Nov_16_1539,InfinityThesisTest5,2021.2.3,59.927901218593895,
2,0,13,13,13,,,,,,,,,2,001,2021_Nov_16_1539,InfinityThesisTest5,2021.2.3,59.927901218593895,
1,0,14,14,14,,,,,,,,,2,001,2021_Nov_16_1539,InfinityThesisTest5,2021.2.3,59.927901218593895,
2,0,15,15,15,,,,,,,,,2,001,2021_Nov_16_1539,InfinityThesisTest5,2021.2.3,59.927901218593895,
1,0,16,16,16,,,,,,,,,2,001,2021_Nov_16_1539,InfinityThesisTest5,2021.2.3,59.927901218593895,
2,0,17,17,17,,,,,,,,,2,001,2021_Nov_16_1539,InfinityThesisTest5,2021.2.3,59.927901218593895,
1,0,18,18,18,,,,,,,,,2,001,2021_Nov_16_1539,InfinityThesisTest5,2021.2.3,59.927901218593895,
2,0,19,19,19,,,,,,,,,2,001,2021_Nov_16_1539,InfinityThesisTest5,2021.2.3,59.927901218593895,
