Statement,Correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixcross.started,fixcross.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
A minute is finite,e,0,0,0,4,13.992805890040472,14.494200359098613,14.494200359098613,None,e,0.5510482779936865,14.494200359098613,None,3,001,2021_Nov_14_1108,InfinityThesisTest5,2021.2.3,60.02934632763663,
Time is infinite,e,0,1,1,0,15.093109191046096,15.593884194036946,15.57687910401728,None,e,0.7602251539938152,15.57687910401728,None,3,001,2021_Nov_14_1108,InfinityThesisTest5,2021.2.3,60.02934632763663,
Space goes on forever,e,0,2,2,1,16.376833488000557,16.877293703029864,16.860278791049495,None,e,0.6748849030118436,16.860278791049495,None,3,001,2021_Nov_14_1108,InfinityThesisTest5,2021.2.3,60.02934632763663,
Numbers have an end,i,0,3,3,3,17.57732407806907,18.07733934209682,18.060731458012015,None,e,0.6025818700436503,18.060731458012015,None,3,001,2021_Nov_14_1108,InfinityThesisTest5,2021.2.3,60.02934632763663,
An inch is endless,i,0,4,4,2,18.71020352409687,19.210869698086753,19.194380806060508,None,e,0.6737318009836599,19.194380806060508,None,3,001,2021_Nov_14_1108,InfinityThesisTest5,2021.2.3,60.02934632763663,
A minute is finite,e,1,0,5,4,19.892230913043022,20.3943542590132,20.377494498039596,None,e,0.640527723939158,20.377494498039596,None,3,001,2021_Nov_14_1108,InfinityThesisTest5,2021.2.3,60.02934632763663,
An inch is endless,i,1,1,6,2,21.060778106097132,21.560292631038465,21.544563785078935,None,e,0.5564022719627246,21.544563785078935,None,3,001,2021_Nov_14_1108,InfinityThesisTest5,2021.2.3,60.02934632763663,
Numbers have an end,i,1,2,7,3,22.14394154306501,22.644570535048842,22.627196722081862,28.127999504096806,e,7.586112139048055,22.627196722081862,None,3,001,2021_Nov_14_1108,InfinityThesisTest5,2021.2.3,60.02934632763663,
Time is infinite,e,1,3,8,0,30.261554085067473,30.76140918408055,30.745068787015043,None,e,0.7191756860120222,30.745068787015043,None,3,001,2021_Nov_14_1108,InfinityThesisTest5,2021.2.3,60.02934632763663,
Space goes on forever,e,1,4,9,1,31.511525041074492,32.02803446899634,31.976434594020247,None,e,0.48574725806247443,31.976434594020247,None,3,001,2021_Nov_14_1108,InfinityThesisTest5,2021.2.3,60.02934632763663,
Time is infinite,e,2,0,10,0,32.511654235073365,33.0114199280506,32.99491497606505,None,e,0.48417984205298126,32.99491497606505,None,3,001,2021_Nov_14_1108,InfinityThesisTest5,2021.2.3,60.02934632763663,
Numbers have an end,i,2,1,11,3,33.51128690200858,34.0116667120019,33.99426521209534,None,e,0.2538157249800861,33.99426521209534,None,3,001,2021_Nov_14_1108,InfinityThesisTest5,2021.2.3,60.02934632763663,
An inch is endless,i,2,2,12,2,34.29454833106138,34.7950393690262,34.77814780501649,None,e,0.5028600660152733,34.77814780501649,None,3,001,2021_Nov_14_1108,InfinityThesisTest5,2021.2.3,60.02934632763663,
Space goes on forever,e,2,3,13,1,35.31133720406797,35.81183594104368,35.79511156899389,None,e,0.5481046539498493,35.79511156899389,None,3,001,2021_Nov_14_1108,InfinityThesisTest5,2021.2.3,60.02934632763663,
A minute is finite,e,2,4,14,4,36.36160520801786,36.86186129809357,36.845318004023284,None,e,0.5396197789814323,36.845318004023284,None,3,001,2021_Nov_14_1108,InfinityThesisTest5,2021.2.3,60.02934632763663,
Space goes on forever,e,3,0,15,1,37.42803459998686,37.92847297608387,37.912061974056996,None,e,0.5857355289626867,37.912061974056996,None,3,001,2021_Nov_14_1108,InfinityThesisTest5,2021.2.3,60.02934632763663,
Time is infinite,e,3,1,16,0,38.527712772018276,39.028650945052505,39.01230261102319,None,e,0.5765997010748833,39.01230261102319,None,3,001,2021_Nov_14_1108,InfinityThesisTest5,2021.2.3,60.02934632763663,
A minute is finite,e,3,2,17,4,39.612160873017274,40.11224731709808,40.095378533005714,None,e,0.7002391640562564,40.095378533005714,None,3,001,2021_Nov_14_1108,InfinityThesisTest5,2021.2.3,60.02934632763663,
Numbers have an end,i,3,3,18,3,40.81181432609446,41.31242391408887,41.29608210606966,None,e,0.5476700409781188,41.29608210606966,None,3,001,2021_Nov_14_1108,InfinityThesisTest5,2021.2.3,60.02934632763663,
An inch is endless,i,3,4,19,2,41.86118185403757,42.361279445001855,42.346216371050104,None,e,0.4308579450007528,42.346216371050104,None,3,001,2021_Nov_14_1108,InfinityThesisTest5,2021.2.3,60.02934632763663,
