selectBlock,FastInstructions,Statement,Correct,BlockSelectLoop.thisRepN,BlockSelectLoop.thisTrialN,BlockSelectLoop.thisN,BlockSelectLoop.thisIndex,SpeededBlock.thisRepN,SpeededBlock.thisTrialN,SpeededBlock.thisN,SpeededBlock.thisIndex,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,Instr1.started,Instr1.stopped,InstrResponse.keys,InstrResponse.rt,InstrResponse.started,InstrResponse.stopped,fixcross.started,fixcross.stopped,Fasttext.started,Fasttext.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Timer.started,Timer.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",,,0,0,0,16,0,0,0,0,0,0,0,0,,,,,14.07816788495984,None,e,1.3592062459792942,16.04447755194269,None,,,,,,,,,,,,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
1,"Each statement will appear on your screen for 5 seconds and you will have those 5 seconds to decide if it is true or false before the next statement appears. There will be a timer on your screen and a reminder when you have 2 seconds remaining. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press E to continue",,,0,0,0,16,0,0,0,0,0,1,1,1,,,,,17.460461833048612,None,e,1.7644769049948081,19.44412682298571,None,,,,,,,,,,,,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
1,"If the statement is true, you will press the “E” key on your keyboard with your left pointer finger; if the statement is false, you will press the “I” key on your keyboard with your right pointer finger. Press E to continue",,,0,0,0,16,0,0,0,0,0,2,2,2,,,,,21.243298757006414,None,e,0.6115469939541072,23.227748753037304,None,,,,,,,,,,,,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
1,,Time  goes on forever,e,0,0,0,16,0,0,0,0,,,,,0,0,0,2,,,,,,,23.89462347794324,24.394046740955673,24.378363998024724,None,e,1,0.4008139470824972,24.378363998024724,None,None,None,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
1,,Numbers are finite,i,0,0,0,16,0,0,0,0,,,,,0,1,1,3,,,,,,,24.811562379007228,25.311092254007235,25.311092254007235,None,i,1,0.24222295405343175,25.311092254007235,None,None,None,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
1,,An inch cannot go on forever,e,0,0,0,16,0,0,0,0,,,,,0,2,2,4,,,,,,,25.57872714602854,26.07805085403379,26.061861681984738,None,e,1,0.2502104640007019,26.061861681984738,None,None,None,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
1,,A minute is infinite,i,0,0,0,16,0,0,0,0,,,,,0,3,3,0,,,,,,,26.343632580013946,26.84456366696395,26.82861365703866,None,i,1,0.24556204001419246,26.82861365703866,None,None,None,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
1,,Space has an end,i,0,0,0,16,0,0,0,0,,,,,0,4,4,1,,,,,,,27.095522981951945,27.5946791570168,27.578018340980634,None,e,0,0.24318956502247602,27.578018340980634,None,None,None,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
1,,,,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
2,,,,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Nov_17_1352,InfinityThesisTest5,2021.2.3,59.99723595728,
