SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.corr,key_resp_4.keys,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect,key_resp_4.rt,key_resp_5.rt,key_resp_3.keys,key_resp_3.rt,SlowKey.keys,SlowKey.corr,SlowKey.rt,encouragekey.keys,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,6.6438,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,6.772,0,1,1,1,1,"We urge you to try your best and take your time. Each statement will appear on your screen and you will have 10 seconds to decide if it is true or false. You will hear a beep at 6 seconds that will prompt you to respond within the next 4 seconds. If you fail to respond within this time, the trial will be counted as incorrect and the next statement will appear. Press SPACE to continue",5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,3,3,3,1,Take your time and go slowly! You have 10 seconds to answer! Press SPACE to continue. ,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,0,,0,0,0,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,0,space,0,1,1,8,1,Mississippi is a country,j,4.8136,,,,,,,,,,,,,,,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,f,1,space,0,2,2,2,1,Magenta is a color,f,2.4931,2.2744,,,,,,,,,,,,,,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,f,1,space,0,3,3,3,1,A clock is used to tell time,f,0.6114,2.1509,,,,,,,,,,,,,,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,j,1,space,0,4,4,7,1,The Earth is a star,j,0.7285,1.5672,,,,,,,,,,,,,,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,f,0,space,0,5,5,6,1,Jupiter is the planet we live on,j,0.5807,1.3844,,,,,,,,,,,,,,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,j,1,space,0,6,6,5,1,A truck is an animal,j,0.9544,1.5173,,,,,,,,,,,,,,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,j,1,space,0,7,7,9,1,Humans cannot eat food,j,0.5442,2.2088,,,,,,,,,,,,,,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,f,1,space,0,8,8,0,1,A circle is a shape,f,0.6518,2.3839,,,,,,,,,,,,,,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,f,1,space,0,9,9,1,1,Dinosaurs are extinct,f,0.4171,1.8037,,,,,,,,,,,,,,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,3.5002,,space,19.6393,f,1,1.9084,,0,0,0,21,1,Time can go on forever,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.94,,,,j,1,2.0175,,0,1,1,87,1,Dreams have a molecular structure,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.5945,,,,f,1,1.4114,,0,2,2,93,1,Magenta is a color,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.6206,,,,f,1,2.6429,,0,3,3,12,1,An inch cannot go on forever,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3198,,,,f,1,1.7998,,0,4,4,99,1,A motorcycle is a vehicle,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3186,,,,f,1,1.9896,,0,5,5,37,1,Numbers can go on forever,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3143,,,,f,1,1.4969,,0,6,6,94,1,Orange is a color,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.4684,,,,j,1,2.0325,,0,7,7,83,1,Songs can be put in a container,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.5319,,,,f,1,2.5636,,0,8,8,77,1,Saliva has a molecular structure,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.4012,,,,j,1,1.819,,0,9,9,13,1,An inch can go on forever,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.5653,,,,f,1,1.91,,0,10,10,44,1,The number five cannot go on forever,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3647,,,,f,1,2.2635,,0,11,11,68,1,Algae is alive,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3323,,,,f,1,2.0214,,0,12,12,8,1,An inch is finite,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.4113,,,,j,1,1.8128,,0,13,13,112,1,Dinosaurs are not extinct,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.4304,,,,j,1,2.5418,,0,14,14,127,1,A zebra is used to write,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3511,,,,j,1,1.7803,,0,15,15,80,1,Mittens need nutrients,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3177,,,,j,1,1.8299,,0,16,16,126,1,Humans can breathe water,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.7331,,,,f,1,2.1187,,0,17,17,31,1,Space can always be further divided,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.5337,,,,f,1,1.8166,,0,18,18,105,1,There are fifty states in the United States,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3911,,,,j,1,1.7688,,0,19,19,16,1,Time is finite,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3676,,,,j,1,1.707,,0,20,20,45,1,The number five can go on forever,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.4182,,,,j,1,2.1673,,0,21,21,67,1,Gravity has a molecular structure,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.467,,,,f,1,1.5442,,0,22,22,89,1,A square is a shape,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3125,,,,j,1,1.5011,,0,23,23,11,1,An inch is endless,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.4781,,,,f,1,2.2292,,0,24,24,25,1,Space is infinite,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3262,,,,f,1,2.9842,,0,25,25,7,1,A minute can always be further divided,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3005,,,,f,1,1.4339,,0,26,26,19,1,Time is endless,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3001,,,,j,1,2.2337,,0,27,27,117,1,Dolphins cannot swim in the ocean,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3505,,,,j,1,2.351,,0,28,28,82,1,Stones reproduce,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3634,,,,f,1,2.824,,0,29,29,23,1,Time can always be further divided,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.5439,,,,f,1,1.7499,,0,30,30,88,1,This sentence is written in English,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.6912,,,,j,0,1.9579,,0,31,31,102,1,The Earth is a planet,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.4891,,,,j,1,2.6512,,0,32,32,5,1,A minute can go on forever,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.7748,,,,j,1,2.9953,,0,33,33,46,1,The number five cannot always be further divided,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.4415,,,,j,1,2.9022,,0,34,34,124,1,The president of the United States is Oprah,j,,,
