SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,SlowKey.keys,SlowKey.corr,SlowKey.rt,encouragekey.keys,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowLoop.ran,Statement,Correct,encouragekey.rt
space,9.0398,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.2683,0,1,1,1,1,"We urge you to try your best and take your time. Each statement will appear on your screen and you will have 10 seconds to decide if it is true or false. You will hear a beep at 6 seconds that will prompt you to respond within the next 4 seconds. If you fail to respond within this time, the trial will be counted as incorrect and the next statement will appear. Press SPACE to continue",6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.0862,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,,,,,,,,,,,,,,,,,,,,,,,
space,5.0198,0,3,3,3,1,Take your time and go slowly! You have 10 seconds to answer! Press SPACE to continue. ,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,f,1,7.8597,space,1.3131,0,0,0,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,j,1,7.751,space,4.494,0,1,1,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,f,1,6.1264,space,1.3348,0,2,2,0,1,A circle is a shape,f,,,,,,,,,,,,,,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,f,0,2.1831,space,0.9129,0,3,3,8,1,Mississippi is a country,j,,,,,,,,,,,,,,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,j,1,1.8722,space,0.6951,0,4,4,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,j,1,2.1921,space,0.6472,0,5,5,7,1,The Earth is a star,j,,,,,,,,,,,,,,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,j,1,1.4912,space,0.6676,0,6,6,5,1,A truck is an animal,j,,,,,,,,,,,,,,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,f,1,3.3009,space,0.6874,0,7,7,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,f,1,1.7198,space,0.6921,0,8,8,2,1,Magenta is a color,f,,,,,,,,,,,,,,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,f,1,1.1842,space,0.5889,0,9,9,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.7442,,,,,,,,space,0.4806,f,1,1.3896,,0,0,0,103,1,The United States is a country,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.5966,,,,,,,,,,f,1,4.3363,,0,1,1,10,1,An inch has an end,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.592,,,,,,,,,,f,1,1.2674,,0,2,2,92,1,Dinosaurs are extinct,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.737,,,,,,,,,,j,1,1.9167,,0,3,3,3,1,A minute is endless,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.5851,,,,,,,,,,j,1,3.0179,,0,4,4,22,1,Time cannot always be further divided,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.5549,,,,,,,,,,j,1,2.0595,,0,5,5,87,1,Dreams have a molecular structure,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.4232,,,,,,,,,,j,1,1.6231,,0,6,6,109,1,A square is a color,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.7846,,,,,,,,,,j,1,2.3002,,0,7,7,43,1,The number five is endless,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.4889,,,,,,,,,,j,1,1.1885,,0,8,8,58,1,Clocks are alive,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.4731,,,,,,,,,,j,1,1.2395,,0,9,9,120,1,A truck is an animal,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.596,,,,,,,,,,f,1,2.1232,,0,10,10,31,1,Space can always be further divided,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,1.2778,,,,,,,,,,j,1,2.9475,,0,11,11,14,1,An inch cannot always be further divided,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.547,,,,,,,,,,f,1,2.3203,,0,12,12,12,1,An inch cannot go on forever,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,1.4355,,,,,,,,,,f,0,1.4115,,0,13,13,126,1,Humans can breathe water,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.4812,,,,,,,,,,j,1,1.7511,,0,14,14,20,1,Time cannot go on forever,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,1.1902,,,,,,,,,,j,1,3.1064,,0,15,15,65,1,Shadows are composed of matter,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.5885,,,,,,,,,,f,1,1.5798,,0,16,16,35,1,Numbers are endless,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.7137,,,,,,,,,,f,1,2.0266,,0,17,17,52,1,Frogs reproduce,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,1.1715,,,,,,,,,,f,1,2.7869,,0,18,18,105,1,There are fifty states in the United States,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,1.1566,,,,,,,,,,f,1,1.288,,0,19,19,51,1,Tigers reproduce,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,1.0122,,,,,,,,,,j,1,1.8191,,0,20,20,32,1,Numbers are finite,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.5197,,,,,,,,,,f,1,1.1042,,0,21,21,49,1,Pelicans are alive,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.7196,,,,,,,,,,f,1,4.4838,,0,22,22,77,1,Saliva has a molecular structure,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.593,,,,,,,,,,f,1,1.4002,,0,23,23,7,1,A minute can always be further divided,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.2471,,,,,,,,,,f,1,1.4216,,0,24,24,70,1,Grass needs nutrients,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.5243,,,,,,,,,,j,1,2.1618,,0,25,25,6,1,A minute cannot always be further divided,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.2667,,,,,,,,,,f,1,1.6462,,0,26,26,23,1,Time can always be further divided,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.6096,,,,,,,,,,j,0,2.5032,,0,27,27,53,1,Bricks can be put in a container,f,
