SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,SlowKey.keys,SlowKey.corr,SlowKey.rt,encouragekey.keys,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowLoop.ran,Statement,Correct
space,4.1622,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",6874,2022-03-31_11h56.40.488,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,
space,7.4653,0,1,1,1,1,"We urge you to try your best and take your time. Each statement will appear on your screen and you will have 10 seconds to decide if it is true or false. You will hear a beep at 6 seconds that will prompt you to respond within the next 4 seconds. If you fail to respond within this time, the trial will be counted as incorrect and the next statement will appear. Press SPACE to continue",6874,2022-03-31_11h56.40.488,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.5681,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",6874,2022-03-31_11h56.40.488,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6874,2022-03-31_11h56.40.488,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,j,0,1.3326,space,0.8696,0,0,0,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,
,,,,,,,,6874,2022-03-31_11h56.40.488,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,j,1,1.2928,space,0.5745,0,1,1,9,1,Humans cannot eat food,j,,,,,,,,,,,,,
,,,,,,,,6874,2022-03-31_11h56.40.488,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,f,1,0.9994,space,0.1503,0,2,2,3,1,A clock is used to tell time,f,,,,,,,,,,,,,
,,,,,,,,6874,2022-03-31_11h56.40.488,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,f,1,0.8134,space,0.1488,0,3,3,2,1,Magenta is a color,f,,,,,,,,,,,,,
,,,,,,,,6874,2022-03-31_11h56.40.488,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,f,0,1.4497,space,0.1588,0,4,4,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,
,,,,,,,,6874,2022-03-31_11h56.40.488,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,j,1,0.9857,space,0.1672,0,5,5,7,1,The Earth is a star,j,,,,,,,,,,,,,
,,,,,,,,6874,2022-03-31_11h56.40.488,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,j,1,1.2754,space,0.1185,0,6,6,8,1,Mississippi is a country,j,,,,,,,,,,,,,
,,,,,,,,6874,2022-03-31_11h56.40.488,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,f,1,1.0962,space,0.1449,0,7,7,0,1,A circle is a shape,f,,,,,,,,,,,,,
,,,,,,,,6874,2022-03-31_11h56.40.488,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,j,1,1.3675,space,0.1282,0,8,8,5,1,A truck is an animal,j,,,,,,,,,,,,,
,,,,,,,,6874,2022-03-31_11h56.40.488,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,f,1,1.3325,space,0.0834,0,9,9,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,
,,,,,,,,6874,2022-03-31_11h56.40.488,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.1645,,,,,,,,space,6.9345,j,1,1.4129,,0,0,0,67,1,Gravity has a molecular structure,j
,,,,,,,,6874,2022-03-31_11h56.40.488,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.186,,,,,,,,,,f,1,7.4476,,0,1,1,69,1,Bacteria are alive,f
,,,,,,,,6874,2022-03-31_11h56.40.488,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.1606,,,,,,,,,,j,1,2.6494,,0,2,2,83,1,Songs can be put in a container,j
