selectBlock,FastInstructions,Statement,Correct,SlowInstructions,Blockselectloop.thisRepN,Blockselectloop.thisTrialN,Blockselectloop.thisN,Blockselectloop.thisIndex,SpeededBlock.thisRepN,SpeededBlock.thisTrialN,SpeededBlock.thisN,SpeededBlock.thisIndex,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,SlowBlock.thisRepN,SlowBlock.thisTrialN,SlowBlock.thisN,SlowBlock.thisIndex,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,Instr1.started,Instr1.stopped,InstrResponse.keys,InstrResponse.rt,InstrResponse.started,InstrResponse.stopped,fixcross.started,fixcross.stopped,Fasttext.started,Fasttext.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Timer.started,Timer.stopped,SlowInstrText.started,SlowInstrText.stopped,SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrKey.started,SlowInstrKey.stopped,polygon.started,polygon.stopped,SlowText.started,SlowText.stopped,SlowKey.keys,SlowKey.corr,SlowKey.rt,SlowKey.started,SlowKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,17.14312660100404,None,e,4.072030542069115,19.109292597975582,None,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Nov_20_1137,InfinityThesisTest5,2021.2.3,59.98949333639036,
1,"Each statement will appear on your screen for 5 seconds and you will have those 5 seconds to decide if it is true or false before the next statement appears. There will be a timer on your screen and a reminder when you have 2 seconds remaining. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press E to continue",,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,23.242782919900492,None,e,4.638769514975138,25.227170960977674,None,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Nov_20_1137,InfinityThesisTest5,2021.2.3,59.98949333639036,
1,"If the statement is true, you will press the “E” key on your keyboard with your left pointer finger; if the statement is false, you will press the “I” key on your keyboard with your right pointer finger. Press E to continue",,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,29.909877782920375,None,e,0.1333225719863549,31.893522224971093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Nov_20_1137,InfinityThesisTest5,2021.2.3,59.98949333639036,
1,,A minute is infinite,i,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,32.1099152759416,32.610739002004266,32.57728805788793,None,e,0,0.7826585510047153,32.57728805788793,None,None,None,,,,,,,,,,,,,,,,6,001,2021_Nov_20_1137,InfinityThesisTest5,2021.2.3,59.98949333639036,
1,,Space has an end,i,,0,0,0,0,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,33.393564880941994,33.89378825889435,33.876946615986526,None,i,1,3.2974980759900063,33.876946615986526,None,36.87714192547137,37.077030104002915,,,,,,,,,,,,,,,,6,001,2021_Nov_20_1137,InfinityThesisTest5,2021.2.3,59.98949333639036,
1,,Time  goes on forever,e,,0,0,0,0,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,37.21069926396012,37.71062540996354,37.69439580896869,None,e,1,4.722728422028013,37.69439580896869,None,40.69452626347775,40.8937667789869,,,,,,,,,,,,,,,,6,001,2021_Nov_20_1137,InfinityThesisTest5,2021.2.3,59.98949333639036,
1,,Numbers are finite,i,,0,0,0,0,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,42.44464333599899,42.94399089098442,42.92803511896636,47.92746214789804,None,0,,42.92803511896636,None,45.92808549742913,46.12814529798925,,,,,,,,,,,,,,,,6,001,2021_Nov_20_1137,InfinityThesisTest5,2021.2.3,59.98949333639036,
1,,An inch cannot go on forever,e,,0,0,0,0,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,48.42909761390183,48.94431449798867,48.928035663906485,None,e,1,1.9236689360113814,48.928035663906485,48.42909761390183,None,None,,,,,,,,,,,,,,,,6,001,2021_Nov_20_1137,InfinityThesisTest5,2021.2.3,59.98949333639036,
2,,,,"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",0,1,1,1,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,50.96137104788795,None,e,6.772862641024403,50.96137104788795,None,,,,,,,,,,6,001,2021_Nov_20_1137,InfinityThesisTest5,2021.2.3,59.98949333639036,
2,,,,We urge you to try your best and take your time. Each statement will appear on your screen and you will have as much time as you need to decide if it is true or false. Press E to continue,0,1,1,1,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,57.778623653925024,None,e,1.0225609180051833,57.778623653925024,None,,,,,,,,,,6,001,2021_Nov_20_1137,InfinityThesisTest5,2021.2.3,59.98949333639036,
2,,,,"If the statement is true, you will press the “E” key on your keyboard with your left pointer finger; if the statement is false, you will press the “I” key on your keyboard with your right pointer finger. Press E to continue",0,1,1,1,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,58.845794698921964,None,e,0.6315049401018769,58.845794698921964,None,,,,,,,,,,6,001,2021_Nov_20_1137,InfinityThesisTest5,2021.2.3,59.98949333639036,
2,,A minute is infinite,i,,0,1,1,1,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,59.52859741298016,60.029232979984954,60.01284996292088,None,e,0,0.6495370960328728,59.52859741298016,None,6,001,2021_Nov_20_1137,InfinityThesisTest5,2021.2.3,59.98949333639036,
2,,Numbers are finite,i,,0,1,1,1,,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,60.19592689094134,None,None,None,e,0,0.2562076880130917,60.19592689094134,None,6,001,2021_Nov_20_1137,InfinityThesisTest5,2021.2.3,59.98949333639036,
2,,Time  goes on forever,e,,0,1,1,1,,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,60.47944086394273,None,None,None,e,1,0.15650103602092713,60.47944086394273,None,6,001,2021_Nov_20_1137,InfinityThesisTest5,2021.2.3,59.98949333639036,
