SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,SlowKey.keys,SlowKey.corr,SlowKey.rt,encouragekey.keys,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,1.5776,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",7083,2022-03-31_16h37.13.503,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,33.06659612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,2.8864,0,1,1,1,1,"We urge you to try your best and take your time. Each statement will appear on your screen and you will have 10 seconds to decide if it is true or false. You will hear a beep at 6 seconds that will prompt you to respond within the next 4 seconds. If you fail to respond within this time, the trial will be counted as incorrect and the next statement will appear. Press SPACE to continue",7083,2022-03-31_16h37.13.503,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,33.06659612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,6.5015,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",7083,2022-03-31_16h37.13.503,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,33.06659612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.6895,0,3,3,3,1,Take your time and go slowly! You have 10 seconds to answer! Press SPACE to continue. ,7083,2022-03-31_16h37.13.503,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,33.06659612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7083,2022-03-31_16h37.13.503,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,33.06659612,f,0,0.7651,space,1.0312,0,0,0,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,,
,,,,,,,,7083,2022-03-31_16h37.13.503,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,33.06659612,j,0,1.4849,space,1.161,0,1,1,2,1,Magenta is a color,f,,,,,,,,,,,,,,,,
,,,,,,,,7083,2022-03-31_16h37.13.503,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,33.06659612,f,1,2.5625,space,1.5456,0,2,2,0,1,A circle is a shape,f,,,,,,,,,,,,,,,,
,,,,,,,,7083,2022-03-31_16h37.13.503,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,33.06659612,f,1,1.5919,space,1.4652,0,3,3,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,,
,,,,,,,,7083,2022-03-31_16h37.13.503,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,33.06659612,j,1,1.5056,space,1.9757,0,4,4,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,,
,,,,,,,,7083,2022-03-31_16h37.13.503,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,33.06659612,f,0,1.4508,space,3.6273,0,5,5,5,1,A truck is an animal,j,,,,,,,,,,,,,,,,
,,,,,,,,7083,2022-03-31_16h37.13.503,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,33.06659612,j,1,2.0676,space,1.1525,0,6,6,7,1,The Earth is a star,j,,,,,,,,,,,,,,,,
,,,,,,,,7083,2022-03-31_16h37.13.503,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,33.06659612,j,0,1.5014,space,1.5401,0,7,7,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,,
,,,,,,,,7083,2022-03-31_16h37.13.503,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,33.06659612,j,0,1.6178,space,1.4256,0,8,8,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,,
,,,,,,,,7083,2022-03-31_16h37.13.503,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,33.06659612,f,0,1.4737,space,0.7987,0,9,9,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,,
,,,,,,,,7083,2022-03-31_16h37.13.503,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,33.06659612,,,,space,1.3442,,,,,,,,space,3.3411,j,1,2.7226,,0,0,0,125,1,There are ninty states in the United States,j,,,
,,,,,,,,7083,2022-03-31_16h37.13.503,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,33.06659612,,,,space,0.7934,,,,,,,,,,f,1,1.6933,,0,1,1,27,1,Space is endless,f,,,
