SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.corr,key_resp_4.keys,key_resp_4.rt,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect,key_resp_5.rt,key_resp_3.keys,key_resp_3.rt,SlowKey.keys,SlowKey.corr,SlowKey.rt,encouragekey.keys,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,7.5683,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",7253,2022-04-06_18h00.40.355,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.63178318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,9.6383,0,1,1,1,1,"We urge you to try your best and take your time. Each statement will appear on your screen and you will have 10 seconds to decide if it is true or false. You will hear a beep at 6 seconds that will prompt you to respond within the next 4 seconds. If you fail to respond within this time, the trial will be counted as incorrect and the next statement will appear. Press SPACE to continue",7253,2022-04-06_18h00.40.355,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.63178318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",7253,2022-04-06_18h00.40.355,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.63178318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,3,3,3,1,Take your time and go slowly! You have 10 seconds to answer! Press SPACE to continue. ,7253,2022-04-06_18h00.40.355,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.63178318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7253,2022-04-06_18h00.40.355,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.63178318,,0,space,1.7254,0,0,0,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,,,
,,,,,,,,7253,2022-04-06_18h00.40.355,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.63178318,j,1,space,1.8865,0,1,1,5,1,A truck is an animal,j,1.1595,,,,,,,,,,,,,,,,
,,,,,,,,7253,2022-04-06_18h00.40.355,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.63178318,f,1,space,1.13,0,2,2,4,1,Humans cannot breathe water,f,3.3126,,,,,,,,,,,,,,,,
,,,,,,,,7253,2022-04-06_18h00.40.355,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.63178318,f,0,space,0.8877,0,3,3,7,1,The Earth is a star,j,2.1888,,,,,,,,,,,,,,,,
,,,,,,,,7253,2022-04-06_18h00.40.355,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.63178318,f,1,space,0.5012,0,4,4,1,1,Dinosaurs are extinct,f,1.8094,,,,,,,,,,,,,,,,
,,,,,,,,7253,2022-04-06_18h00.40.355,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.63178318,f,1,space,0.5006,0,5,5,3,1,A clock is used to tell time,f,1.97,,,,,,,,,,,,,,,,
,,,,,,,,7253,2022-04-06_18h00.40.355,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.63178318,j,1,space,0.4125,0,6,6,9,1,Humans cannot eat food,j,1.4359,,,,,,,,,,,,,,,,
,,,,,,,,7253,2022-04-06_18h00.40.355,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.63178318,j,1,space,0.5349,0,7,7,6,1,Jupiter is the planet we live on,j,1.7815,,,,,,,,,,,,,,,,
,,,,,,,,7253,2022-04-06_18h00.40.355,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.63178318,f,1,space,0.3806,0,8,8,2,1,Magenta is a color,f,1.7091,,,,,,,,,,,,,,,,
,,,,,,,,7253,2022-04-06_18h00.40.355,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.63178318,f,1,space,0.3239,0,9,9,0,1,A circle is a shape,f,1.4419,,,,,,,,,,,,,,,,
,,,,,,,,7253,2022-04-06_18h00.40.355,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.63178318,,,space,0.9161,,,,,,,,,space,13.3601,f,1,1.6361,,0,0,0,68,1,Algae is alive,f,,,
,,,,,,,,7253,2022-04-06_18h00.40.355,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.63178318,,,space,0.7251,,,,,,,,,,,f,0,3.3235,,0,1,1,45,1,The number five can go on forever,j,,,
,,,,,,,,7253,2022-04-06_18h00.40.355,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.63178318,,,space,0.5679,,,,,,,,,,,j,1,4.9551,,0,2,2,64,1,Echoes are composed of matter,j,,,
,,,,,,,,7253,2022-04-06_18h00.40.355,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.63178318,,,space,0.5065,,,,,,,,,,,f,1,1.904,,0,3,3,101,1,Jupiter is in our solar system,f,,,
,,,,,,,,7253,2022-04-06_18h00.40.355,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.63178318,,,space,0.6826,,,,,,,,,,,j,1,3.1553,,0,4,4,32,1,Numbers are finite,j,,,
,,,,,,,,7253,2022-04-06_18h00.40.355,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.63178318,,,space,0.387,,,,,,,,,,,f,1,1.5237,,0,5,5,35,1,Numbers are endless,f,,,
,,,,,,,,7253,2022-04-06_18h00.40.355,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.63178318,,,space,0.6883,,,,,,,,,,,j,1,2.1532,,0,6,6,59,1,Comets are alive,j,,,
