SlowInstrKey.keys,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,SlowInstrKey.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,SlowKey.keys,SlowKey.corr,SlowKey.rt,encouragekey.keys,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys
,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,1,1,1,1,"We urge you to try your best and take your time. Each statement will appear on your screen and you will have 10 seconds to decide if it is true or false. You will hear a beep at 6 seconds that will prompt you to respond within the next 4 seconds. If you fail to respond within this time, the trial will be counted as incorrect and the next statement will appear. Press SPACE to continue",9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,16.8944,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,10.9492,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,3,3,3,1,Take your time and go slowly! You have 10 seconds to answer! Press SPACE to continue. ,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,2.1356,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,j,1,2.1901,space,1.4222,0,0,0,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,j,1,1.6134,space,1.2959,0,1,1,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,j,1,1.339,space,0.9292,0,2,2,5,1,A truck is an animal,j,,,,,,,,,,,,,,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,j,1,1.4847,space,0.8175,0,3,3,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,f,1,1.2926,space,0.8625,0,4,4,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,f,1,1.7766,space,0.6343,0,5,5,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,j,1,1.704,space,0.8886,0,6,6,7,1,The Earth is a star,j,,,,,,,,,,,,,,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,f,1,2.004,space,0.823,0,7,7,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,f,1,1.602,space,0.785,0,8,8,2,1,Magenta is a color,f,,,,,,,,,,,,,,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,f,1,2.0711,space,0.6852,0,9,9,0,1,A circle is a shape,f,,,,,,,,,,,,,,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.7992,,,,,,,,space,5.4359,j,1,1.4726,,0,0,0,3,1,A minute is endless,j,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.5183,,,,,,,,,,j,1,1.6018,,0,1,1,58,1,Clocks are alive,j,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.5686,,,,,,,,,,f,1,1.1349,,0,2,2,95,1,Yellow is a color,f,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.588,,,,,,,,,,f,0,2.6364,,0,3,3,22,1,Time cannot always be further divided,j,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.7366,,,,,,,,,,f,0,1.2335,,0,4,4,119,1,A motorcycle is a person,j,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.7548,,,,,,,,,,j,1,1.9849,,0,5,5,43,1,The number five is endless,j,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.8179,,,,,,,,,,f,1,1.6323,,0,6,6,70,1,Grass needs nutrients,f,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.6852,,,,,,,,,,j,1,1.3032,,0,7,7,126,1,Humans can breathe water,j,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.7518,,,,,,,,,,j,1,1.9882,,0,8,8,83,1,Songs can be put in a container,j,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.7512,,,,,,,,,,j,1,2.0504,,0,9,9,87,1,Dreams have a molecular structure,j,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.7137,,,,,,,,,,f,1,1.544,,0,10,10,33,1,Numbers are infinite,f,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.6464,,,,,,,,,,j,1,1.5046,,0,11,11,114,1,Lightbulbs are made of clay,j,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.6363,,,,,,,,,,f,1,1.7064,,0,12,12,96,1,Fish can swim in the ocean,f,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.6515,,,,,,,,,,f,1,1.7322,,0,13,13,104,1,The United States has a president,f,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.5352,,,,,,,,,,j,1,1.4825,,0,14,14,111,1,A circle is a flavor,j,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.5516,,,,,,,,,,f,0,2.4519,,0,15,15,20,1,Time cannot go on forever,j,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.534,,,,,,,,,,j,1,1.9295,,0,16,16,109,1,A square is a color,j,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.6542,,,,,,,,,,f,1,1.2837,,0,17,17,69,1,Bacteria are alive,f,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.7193,,,,,,,,,,f,0,1.7997,,0,18,18,67,1,Gravity has a molecular structure,j,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.708,,,,,,,,,,f,1,1.4536,,0,19,19,103,1,The United States is a country,f,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.6687,,,,,,,,,,f,1,1.9513,,0,20,20,106,1,Humans cannot breathe water,f,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.5352,,,,,,,,,,f,0,2.199,,0,21,21,24,1,Space is finite,j,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.62,,,,,,,,,,f,1,1.5083,,0,22,22,51,1,Tigers reproduce,f,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.6694,,,,,,,,,,f,1,1.3031,,0,23,23,71,1,Oaks reproduce,f,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.6502,,,,,,,,,,j,1,1.2489,,0,24,24,115,1,Yellow is an animal,j,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.618,,,,,,,,,,f,1,1.4252,,0,25,25,72,1,Mushrooms reproduce,f,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.634,,,,,,,,,,f,1,1.1675,,0,26,26,48,1,Crocodiles are alive,f,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.5679,,,,,,,,,,f,1,1.3172,,0,27,27,89,1,A square is a shape,f,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.7031,,,,,,,,,,j,1,1.2356,,0,28,28,11,1,An inch is endless,j,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.6516,,,,,,,,,,f,1,1.4137,,0,29,29,37,1,Numbers can go on forever,f,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.5925,,,,,,,,,,f,1,1.4987,,0,30,30,17,1,Time is infinite,f,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.6336,,,,,,,,,,f,1,1.2065,,0,31,31,52,1,Frogs reproduce,f,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.6507,,,,,,,,,,f,1,1.6183,,0,32,32,77,1,Saliva has a molecular structure,f,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.6013,,,,,,,,,,f,1,1.3508,,0,33,33,90,1,A triangle is not an animal,f,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.6215,,,,,,,,,,f,1,2.1519,,0,34,34,15,1,An inch can be always further divided,f,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.5709,,,,,,,,,,j,1,2.2886,,0,35,35,28,1,Space cannot go on forever,j,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.4513,,,,,,,,,,j,1,2.2197,,0,36,36,41,1,The number five is infinite,j,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.7065,,,,,,,,,,j,1,1.738,,0,37,37,45,1,The number five can go on forever,j,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.6684,,,,,,,,,,f,1,1.6711,,0,38,38,25,1,Space is infinite,f,,
,,,,,,,9306,2022-04-06_16h27.59.051,ImplicitInfinitySC-SLOWTASK,2021.2.3,Linux x86_64,59.97361161,,,,,space,0.7678,,,,,,,,,,f,1,1.6519,,0,39,39,39,1,Numbers can always be further divided,f,,
