SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,SlowKey.keys,SlowKey.corr,SlowKey.rt,encouragekey.keys,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys
space,2.8123,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",9460,2022-04-06_19h01.21.812,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,165.3439153,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,3.3048,0,1,1,1,1,"We urge you to try your best and take your time. Each statement will appear on your screen and you will have 10 seconds to decide if it is true or false. You will hear a beep at 6 seconds that will prompt you to respond within the next 4 seconds. If you fail to respond within this time, the trial will be counted as incorrect and the next statement will appear. Press SPACE to continue",9460,2022-04-06_19h01.21.812,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,165.3439153,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,10.9311,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",9460,2022-04-06_19h01.21.812,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,165.3439153,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,4.0748,0,3,3,3,1,Take your time and go slowly! You have 10 seconds to answer! Press SPACE to continue. ,9460,2022-04-06_19h01.21.812,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,165.3439153,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9460,2022-04-06_19h01.21.812,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,165.3439153,f,1,1.4051,space,2.8774,0,0,0,2,1,Magenta is a color,f,,,,,,,,,,,,,,,
,,,,,,,,9460,2022-04-06_19h01.21.812,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,165.3439153,f,1,1.112,space,0.8379,0,1,1,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,
,,,,,,,,9460,2022-04-06_19h01.21.812,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,165.3439153,f,1,1.2595,space,0.6146,0,2,2,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,
,,,,,,,,9460,2022-04-06_19h01.21.812,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,165.3439153,f,1,1.1876,space,0.6573,0,3,3,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,
,,,,,,,,9460,2022-04-06_19h01.21.812,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,165.3439153,j,1,0.9855,space,0.8142,0,4,4,7,1,The Earth is a star,j,,,,,,,,,,,,,,,
,,,,,,,,9460,2022-04-06_19h01.21.812,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,165.3439153,j,1,1.2604,space,0.7126,0,5,5,5,1,A truck is an animal,j,,,,,,,,,,,,,,,
