SlowInstrKey.keys,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,SlowInstrKey.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_4.keys,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,SlowKey.keys,SlowKey.corr,SlowKey.rt,encouragekey.keys,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,1,1,1,"We urge you to try your best and take your time. Each statement will appear on your screen and you will have 10 seconds to decide if it is true or false. You will hear a beep at 6 seconds that will prompt you to respond within the next 4 seconds. If you fail to respond within this time, the trial will be counted as incorrect and the next statement will appear. Press SPACE to continue",9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,11.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,3,3,3,1,Take your time and go slowly! You have 10 seconds to answer! Press SPACE to continue. ,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,1.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,j,1,2.417,,0,0,0,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,j,1,1.89,space,0,1,1,6,1,Jupiter is the planet we live on,j,0.842,,,,,,,,,,,,,,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,f,1,2.192,space,0,2,2,3,1,A clock is used to tell time,f,0.477,,,,,,,,,,,,,,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,j,1,1.217,space,0,3,3,8,1,Mississippi is a country,j,0.562,,,,,,,,,,,,,,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,j,1,1.431,space,0,4,4,7,1,The Earth is a star,j,0.47,,,,,,,,,,,,,,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,f,1,1.949,space,0,5,5,4,1,Humans cannot breathe water,f,0.377,,,,,,,,,,,,,,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,j,1,1.056,space,0,6,6,5,1,A truck is an animal,j,0.383,,,,,,,,,,,,,,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,f,1,1.651,space,0,7,7,2,1,Magenta is a color,f,0.354,,,,,,,,,,,,,,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,f,1,0.783,space,0,8,8,0,1,A circle is a shape,f,0.206,,,,,,,,,,,,,,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,f,1,1.14,space,0,9,9,1,1,Dinosaurs are extinct,f,0.315,,,,,,,,,,,,,,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.479,space,4.87,j,1,1.034,,0,0,0,58,1,Clocks are alive,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.285,,,f,1,1.254,,0,1,1,104,1,The United States has a president,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.292,,,f,1,0.821,,0,2,2,89,1,A square is a shape,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.273,,,j,1,1.187,,0,3,3,116,1,Fish cannot swim in the ocean,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.31,,,f,1,2.092,,0,4,4,75,1,Frost is composed of matter,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.34,,,f,0,1.617,,0,5,5,16,1,Time is finite,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.48,,,j,1,1.951,,0,6,6,11,1,An inch is endless,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.324,,,f,1,1.606,,0,7,7,29,1,Space can go on forever,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.286,,,f,1,1.041,,0,8,8,27,1,Space is endless,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.304,,,f,1,3.239,,0,9,9,56,1,Diamonds have a molecular structure,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.291,,,j,1,2.838,,0,10,10,64,1,Echoes are composed of matter,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,1.61,,,,0,,,0,11,11,101,1,Jupiter is in our solar system,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.32,,,j,1,1.481,,0,12,12,118,1,A horse is used to tell time,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.198,,,f,1,2.404,,0,13,13,54,1,Dumbells are composed of matter,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.206,,,f,1,1.119,,0,14,14,105,1,There are fifty states in the United States,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.473,,,f,1,2.235,,0,15,15,73,1,Bubbles can be put in a container,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.224,,,j,1,3.389,,0,16,16,30,1,Space cannot always be further divided,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.395,,,f,1,4.64,,0,17,17,53,1,Bricks can be put in a container,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.2,,,j,1,1.301,,0,18,18,84,1,Silence is composed of matter,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.134,,,j,1,0.85,,0,19,19,119,1,A motorcycle is a person,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.133,,,j,1,1.39,,0,20,20,43,1,The number five is endless,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.123,,,f,1,0.852,,0,21,21,91,1,A circle is a shape,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.134,,,f,1,0.88,,0,22,22,92,1,Dinosaurs are extinct,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.066,,,f,1,2.041,,0,23,23,37,1,Numbers can go on forever,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.113,,,j,0,1.643,,0,24,24,15,1,An inch can be always further divided,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.112,,,f,1,1.502,,0,25,25,51,1,Tigers reproduce,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.098,,,f,1,0.817,,0,26,26,103,1,The United States is a country,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.117,,,f,1,1.836,,0,27,27,2,1,A minute has an end,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.14,,,j,1,1.086,,0,28,28,82,1,Stones reproduce,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.076,,,f,1,1.28,,0,29,29,96,1,Fish can swim in the ocean,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.091,,,j,1,1.601,,0,30,30,87,1,Dreams have a molecular structure,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.109,,,j,1,1.318,,0,31,31,78,1,Hammers are alive,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.209,,,j,1,3.579,,0,32,32,18,1,Time has an end,j,,,
